source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	technology type	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr19_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr2_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr20_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr21_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr22_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr23_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr24_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr25_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr26_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr27_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_Lysn_fr28_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr29_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr29_151110044226_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr3_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr30_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr31_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr32_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr33_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr34_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr35_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr4_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr5_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr6_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr7_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr8_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20150104_alr_CompleteHumanProteome_GM12878_ETD_LysN_fr9_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr1_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr10_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr11_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr12_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr13_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr14_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr15_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr16_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr17_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr18_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr19_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr2_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr20_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr21_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr22_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr23_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr24_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr25_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr26_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr27_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
not available	Homo sapiens	not available	not available	not available	not available	not available	not available	20151023_alr_CompleteHumanProteome_HeLaS3_ETD_LysN_fr28_sub.mzML		not available	not available	NT=Model N/A	40.0 ppm	400.0 ppm	NT=Lys-N;CS=(?=[K])	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146
